booth,name,am,bme,chem,civ,ce,cs,ee,enve,ie,made,mse,mech,non,ms,phd,fte,coop,intern,intl,description
23,"Groupon, Inc.",,,,,,1,,,,,,,,1,1,1,,1,1,"Groupon (NASDAQ: GRPN) is a global leader of local commerce and the place you start when you want to buy just about anything, anytime, anywhere. By leveraging the company\u2019s global relationships and scale, Groupon offers consumers a vast marketplace of unbeatable deals all over the world. Shoppers discover the best a city has to offer on the web or on mobile with Groupon Local, enjoy vacations with Groupon Getaways, and find a curated selection of electronics, fashion, home furnishings and more with Groupon Goods. Groupon is redefining how traditional small businesses attract, retain and interact with customers by providing merchants with a suite of products and services, including customizable deal campaigns, credit card payment processing capabilities, and point-of-sale solutions that help businesses grow and operate more effectively.To search for great deals or subscribe to Groupon emails, visit www.Groupon.com. To download Groupon\'s five-star mobile apps, visit www.groupon.com\/mobile. To learn more about the company\u2019s merchant solutions and how to work with Groupon, visit www.GrouponWorks.com\r\n"
2,"Hanley, Flight & Zimmerman LLC",,,,,1,1,1,,,,,1,,1,1,1,,1,,"Hanley, Flight & Zimmerman is a boutique patent law firm located in the heart of Chicago, specializing in United States and foreign patent prosecution and counseling. Our team of practitioners includes many individuals having years of industry experience as engineers and inventors prior to becoming patent attorneys. A combination of significant real world engineering experience and legal experience results in a highly focused and skilled team of practitioners who provide services to numerous Fortune 500 technology companies.\r\n"
27,HERE,,,,,1,1,,,,,,,,1,1,1,1,1,,"Introducing HERE Maps, HERE Transit, HERE City Lens and HERE Drive+ Beta. Each is amazing alone, but built to work together so no matter how you choose to get around \u2013 walking, driving or via public transit \u2013 your experience will be seamless from one step of the journey to the next. HERE is available for Nokia Lumia Windows Phone 8 devices. \r\n
\""I\'m starving. What\'s good around here?\"" HERE City Lens lets you literally see what\'s around you. Just hold up your phone to see restaurants, shops, sights and more right in your camera\'s display. \r\n
From restaurants and shops to museums and hotels, HERE City Lens reveals what\u2019s right in front of your eyes (available for Windows Phone 8 devices with a magnetometer). \r\n
\""My phone has no signal, how do I find the way to my meeting?\"" True offline maps mean you never have to lose your way, even if you lose your signal. Search and navigate without a data reception and avoid expensive roaming charges while traveling. Plus, offline maps are blazingly fast and load in a snap. \r\n
HERE Maps helps you discover all the best places in any neighborhood and find the smartest ways to get there, wherever you are. \r\n
\""Should I walk or take the bus?\"" HERE helps you easily choose the best route for you \u2013 whether it\u2019s walk, drive or public transportation. Once you\u2019re on your way, seamlessly switch from one to the other, so you won\u2019t miss a beat as you move from walking to that new coffee shop, to riding the subway to your meeting, to driving back home. \r\n
HERE Drive+ Beta is your free turn-by-turn navigation app with full offline support and voice guidance for smart and safe driving. \r\n
See all your public transport options \u2013 bus, train, subway, tram \u2013 with one-tap access to routes, directions to stations, and more. \r\n
\""Where was that place with the cute dresses?\"" Whether you\u2019ve found a new boutique or the perfect cr\u00E8me br\u00FBl\u00E9e, save the place as a favorite and you can find it again from any HERE app. What\u2019s more, your favorites sync with here.com, so you always have access to the places you love.\r\n"
43,"Hill International, Inc.",,,,1,,,,,,,,1,,1,,1,,1,,"Hill International, with 4,300 professionals in 100 offices worldwide, provides program management, project management, construction management, construction claims and other consulting services primarily to the buildings, transportation, environmental, energy and industrial markets. Engineering News-Record magazine recently ranked Hill as the 9th largest construction management firm in the United States. For more information on Hill, please visit our website at www.hillintl.com\r\n"
56,"HR Green, Inc.",,,,1,,,,1,,,,,,1,,1,,1,,"HR Green, Inc (HR Green) is a professional services firm offering planning, engineering, technical consulting, and construction services to clients in diverse markets. HR Green delivers sustainable success to clients in the Transportation, Water, Governmental Services, Land Development, Senior Living, and Energy markets.\r\n"
1,"HYDRA FORCE, Inc.",,,,,,,1,,1,1,,1,,1,,1,,,,"Since its founding, HydraForce continues to be a privately held company as it has grown to several manufacturing locations in North America, Europe and Asia, with a network of 120 stocking distributors who can offer local support across the globe. \r\n
To maintain our core competency of speed to market, HydraForce has invested in application technical support tools including i-Design, our free hydraulic system design software, which integrates seamlessly with 3rd party simulation software, monthly webinars on new products and application tips, and an online product catalog. \r\n
All HydraForce products carry a five-year limited warranty against defects in material and workmanship.\r\n
HydraForce offers one of the most comprehensive lines of hydraulic cartridge valves, custom manifolds and electrohydraulic control systems for the mobile and industrial markets. \r\n
We design and manufacture high performance valves for flow rates of 0.4 to 530 lpm (0.1 to 140gpm) and pressure up to 420 bar (6000psi). Our custom manifolds offer no-leak, screw-in componentry, fast and easy valve removal and replacement, and reduced plumbing when compared to traditional hydraulic systems. \r\n
We also offer a robust line of controllers that are rugged, reliable, and optimized for electro-hydraulic system integration.\r\n"
61,Illinois Dept. of Transportation,,,,1,,,,,,,,,,,,1,,,,"The mission of IDOT is to provide safe, cost-effective transportation for Illinois in ways that enhance quality of life, promote economic prosperity, and demonstrate respect for our environment.\r\n
IDOT strives to design and maintain a world class transportation system that enhances safety and the quality of life of its citizens by reducing congestion and increasing mobility. \r\n"
3,Institute for Defense Analyses,1,,1,,1,1,1,,,,1,1,1,1,1,1,,,,"The Institute for Defense Analyses (IDA) is a not-for-profit organization that operates three think tanks supporting federal decision making: two serving the Department of Defense and one serving the Office of Science and Technology Policy in the Executive Office of the President. The IDA Centers provide objective analyses of national security issues, particularly those requiring scientific and technical expertise, and conduct related research on other national challenges. IDA offers a competitive salary, an excellent benefits package and a superior professional working environment. To the right individual, IDA offers the opportunity to have a major impact on key national programs while working on fascinating technical issues. Individuals selected for employment at IDA are subject to a security investigation and must meet the requirements for access to classified information. U. S. citizenship is required. IDA is proud to be an equal opportunity employer.\r\n"
15,ITW,,,1,1,1,,1,,1,,,1,,1,,1,1,1,,"ITW is a leading, nearly 100-year old, multi-platform industrial manufacturing company comprised of more than 800 business units spanning 55+ countries.  It is one of the world\u2019s leading diversified manufacturers of specialized industrial equipment, consumables and related service businesses. \r\n"
17,Johnson Controls,,,,,1,1,,,1,1,,1,,,,1,,1,,"Johnson Controls is a global diversified technology and industrial leader serving customers in more than 150 countries. Our 162,000 employees create quality products, services and solutions to optimize energy and operational efficiencies of buildings; lead-acid automotive batteries and advanced batteries for hybrid and electric vehicles; and interior systems for automobiles. Our commitment to sustainability dates back to our roots in 1885, with the invention of the first electric room thermostat. Through our growth strategies and by increasing market share we are committed to delivering value to shareholders and making our customers successful. In 2011, Corporate Responsibility Magazine recognized Johnson Controls as the #1 company in its annual \""100 Best Corporate Citizens\"" list. For additional information, please visit http:\/\/www.johnsoncontrols.com \r\n"
38,Keurig Green Mountain,,1,1,,1,,1,1,,1,,1,,,,,,1,1,"As a leader in specialty coffee, coffee makers, teas and other beverages, Keurig Green Mountain (Keurig) (NASDAQ: GMCR), is recognized for its award-winning beverages, innovative brewing technology, and socially responsible business practices. The Company has inspired consumer passion for its products by revolutionizing beverage preparation at home and in the workplace. Keurig supports local and global communities by investing in sustainably-grown coffee and by its active involvement in a variety of social and environmental projects. By helping consumers drink for themselves, we believe we can brew a better world. For more information visit: www.KeurigGreenMountain.com. To purchase Keurig\u00AE products visit: www.Keurig.com or www.Keurig.ca \r\n"
13,Kiewit Corporation,,,,1,,,,,,,,,,,,1,1,,,"\""Just as a rock is not shaken by a strong or sudden gust of wind, neither should we be affected by praise or success. We must not be satisfied with our past accomplishments and we should make every effort to improve and expand our operations \u2013 but only in an orderly and beneficial manner\u2026a company cannot stand still for long \u2013 either it goes ahead or it slides back.\"" \r\n
- Peter Kiewit, 1964 \r\n
Excellence. It is the foundation of everything we do. What began in 1884 with two hardworking brothers has grown into a Fortune 500 construction, mining and engineering powerhouse. \r\n
Kiewit\u2019s ethical, forward-thinking workforce continues to build upon the company\u2019s reputation of safe, high-quality engineering. Consistently ranked among the top five of the Engineering News-Record Top 400 Contractors, our company is a leader in a variety of market sectors throughout North America and, most recently, Australia. \r\n
As an employee-owned company, Kiewit\u2019s assets are managed by the people who know our work best. For us, business is personal. As our own stakeholders, we\u2019re invested in every project we take on. We continuously strive to build high-quality work at the lowest cost. \r\n
Our philosophy on safety is simple: Nobody Gets Hurt. Knowing that one lapse in judgment can lead to catastrophic events, the safety of the men and women on our job sites and the community that surrounds our projects is our No.1 priority. \r\n
Kiewit never stands still. Just as our founders relentlessly chased their dream, we continue to chase new and exciting opportunities, leaving in our wake a trail of jobs done well.\r\n"
49,MathWorks,,,,,,1,1,,,,,1,,1,1,1,1,1,1,"MathWorks is the leading developer of mathematical computing software. Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and development. \r\n
MATLAB\u00AE, the language of technical computing, is a programming environment for algorithm development, data analysis, visualization, and numeric computation. Simulink\u00AE is a graphical environment for simulation and Model-Based Design of multidomain dynamic and embedded systems. The company produces nearly 100 additional products for specialized tasks such as data analysis and image processing.\r\n"
22,McDonnell Boehnen Hulbert & Berghoff LLP,,,,,1,1,1,,,,,1,,1,1,1,,,,"At McDonnell Boehnen Hulbert & Berghoff LLP (\""MBHB\""), we provide creative, pragmatic business solutions through a variety of intellectual property services, including litigation, prosecution, and general client counseling. \r\n
With offices in Illinois, California and North Carolina, MBHB provides comprehensive legal services to obtain and enforce our clients\' intellectual property rights, from navigating patent office procedures to litigating complex infringement actions. We prosecute patent and trademark applications in both the U.S. and abroad, handle intellectual property litigation matters in trial and appellate courts across the country, and counsel clients nationwide and worldwide on the enforcement and defense of their intellectual property rights. We handle litigation matters before the U.S. Patent and Trademark Office and throughout the federal court system, including the U.S. Supreme Court, the U.S. Court of Appeals for the Federal Circuit, U.S. District Courts and the International Trade Commission. \r\n
MBHB\u2019s practice areas encompass all aspects of intellectual property law. We have practical experience in a myriad of technology areas. Our attorneys are experienced in the procurement, licensing, enforcement, and defense of patents, trademarks, copyrights, trade secrets, and unfair competition actions in a number of technological disciplines and product categories including biotechnology, business methods, chemical, electrical, mechanical and materials, pharmaceuticals and diagnostics, software and telecommunications. \r\n
As we provide effective and service-oriented representation on a case-by-case basis, we undertake each challenge with a full understanding of our client\'s business plan and the ways in which our services help our clients reach their goals. Regardless of our role, we never lose sight of our clients\' business objectives. \r\n
Our clients know they have trusted their legal issues and plans for the future with knowledgeable, principled professionals who have their best business interests in mind. Our client list includes Fortune 100 companies, mid-size companies, start-ups, and academic institutions.\r\n"
